                       STATION NAME                  DATE           PRCP      TMAX      TMIN
                       GUNTERSVILLE NUMBER 2 AL      2018 03 15     0.00      40.82     37.94
                       GUNTERSVILLE NUMBER 2 AL      2018 03 16     0.00      43.70     37.94
                       GUNTERSVILLE NUMBER 2 AL      2018 03 17     0.01      43.88     40.28
                       GUNTERSVILLE NUMBER 2 AL      2018 03 18     0.00      45.32     41.36
                       GUNTERSVILLE NUMBER 2 AL      2018 03 19     0.14      43.52     41.36
                       GUNTERSVILLE NUMBER 2 AL      2018 03 20     1.36      44.24     41.36
                       GUNTERSVILLE NUMBER 2 AL      2018 03 21     0.02      41.72     38.48
                       GUNTERSVILLE NUMBER 2 AL      2018 03 22     0.00      41.36     38.48
                       GUNTERSVILLE NUMBER 2 AL      2018 03 23     0.00      42.08     39.02
                       GUNTERSVILLE NUMBER 2 AL      2018 03 24     0.00      42.80     39.92
                       GUNTERSVILLE NUMBER 2 AL      2018 03 25     0.26      44.96     41.54
                       GUNTERSVILLE NUMBER 2 AL      2018 03 27     0.00      41.72     40.28
                       GUNTERSVILLE NUMBER 2 AL      2018 03 28     0.00      43.52     40.82
                       GUNTERSVILLE NUMBER 2 AL      2018 03 29     0.00      45.50     41.54
                       GUNTERSVILLE NUMBER 2 AL      2018 03 30     0.85      45.14     41.36
                       GUNTERSVILLE NUMBER 2 AL      2018 03 31     0.00      42.62     39.38
                                     ADDISON AL      2018 03 01     1.13      44.24     41.54
                                     ADDISON AL      2018 03 02     0.29      42.80     39.20
                                     ADDISON AL      2018 03 03     0.00      42.08     38.66
                                     ADDISON AL      2018 03 04     0.00      42.98     37.22
                                     ADDISON AL      2018 03 06     0.54      44.42     37.40
                                     ADDISON AL      2018 03 10     0.00      43.16     39.74
                                     ADDISON AL      2018 03 11     2.57      42.08     39.74
                                     ADDISON AL      2018 03 12     0.07      42.44     37.76
                                     ADDISON AL      2018 03 13     0.00      41.36     36.68
                                     ADDISON AL      2018 03 14     0.00      42.08     36.68
                                     ADDISON AL      2018 03 15     0.00      41.36     35.96
                                     ADDISON AL      2018 03 16     0.00      44.24     36.14
                                     ADDISON AL      2018 03 17     0.03      43.70     39.20
                                     ADDISON AL      2018 03 18     0.00      45.68     41.00
                                     ADDISON AL      2018 03 19     0.00      43.88     41.00
                                     ADDISON AL      2018 03 20     1.22      45.14     40.46
                                     ADDISON AL      2018 03 21     0.04      41.18     37.58
                                     ADDISON AL      2018 03 22     0.00      41.36     36.86
                                     ADDISON AL      2018 03 23     0.00      43.34     36.86
                                     ADDISON AL      2018 03 24     0.00      44.06     39.20
                                     ADDISON AL      2018 03 25     0.00      44.60     41.36
                                     ADDISON AL      2018 03 26     0.00      45.32     40.82
                                     ADDISON AL      2018 03 27     0.00      41.72     40.10
                                     ADDISON AL      2018 03 28     0.00      44.96     40.10
                                     ADDISON AL      2018 03 29     0.06      44.96     42.80
                                     ADDISON AL      2018 03 30     0.88      43.52     41.00
                                     ADDISON AL      2018 03 31     0.00      42.80     37.94
                                GUNTERSVILLE AL      2018 03 01     0.65      44.06     41.54
                                GUNTERSVILLE AL      2018 03 02     0.87      43.88     39.74
                                GUNTERSVILLE AL      2018 03 03     0.00      42.44     39.02
                                GUNTERSVILLE AL      2018 03 04     0.00      42.98     39.38
                                GUNTERSVILLE AL      2018 03 05     0.00      43.88     40.46
                                GUNTERSVILLE AL      2018 03 06     0.24      42.26     41.00
                                GUNTERSVILLE AL      2018 03 07     0.03      43.52     38.66
                                GUNTERSVILLE AL      2018 03 08     0.00      40.10     37.76
                                GUNTERSVILLE AL      2018 03 09     0.00      40.46     37.22
                                GUNTERSVILLE AL      2018 03 10     0.00      42.98     36.86
                                GUNTERSVILLE AL      2018 03 11     1.69      43.16     40.82
                                GUNTERSVILLE AL      2018 03 12     0.08      42.62     38.48
                                GUNTERSVILLE AL      2018 03 13     0.00      42.62     38.30
                                GUNTERSVILLE AL      2018 03 14     0.00      41.72     38.12
                                GUNTERSVILLE AL      2018 03 15     0.00      41.00     37.76
                                GUNTERSVILLE AL      2018 03 16     0.00      43.88     37.58
                                GUNTERSVILLE AL      2018 03 17     0.00      43.88     39.56
                                GUNTERSVILLE AL      2018 03 19     0.14      43.70     41.54
                                GUNTERSVILLE AL      2018 03 20     1.38      44.24     41.54
                                GUNTERSVILLE AL      2018 03 21     0.03      41.72     38.48
                                GUNTERSVILLE AL      2018 03 22     0.00      41.36     38.30
                                GUNTERSVILLE AL      2018 03 23     0.00      42.26     38.48
                                GUNTERSVILLE AL      2018 03 24     0.00      42.62     39.38
                                GUNTERSVILLE AL      2018 03 25     0.23      44.96     41.90
                                GUNTERSVILLE AL      2018 03 26     0.00      44.06     40.82
                                GUNTERSVILLE AL      2018 03 27     0.00      41.54     40.28
                                GUNTERSVILLE AL      2018 03 28     0.00      43.34     40.64
                                GUNTERSVILLE AL      2018 03 29     0.00      45.50     40.64
                                GUNTERSVILLE AL      2018 03 30     0.80      44.96     41.36
                                GUNTERSVILLE AL      2018 03 31     0.00      42.80     39.38
