                       STATION NAME                  DATE           PRCP      TMAX      TMIN
                          BIRMINGHAM AIRPORT AL      2018 03 22     0.00      43.16     37.58
                          BIRMINGHAM AIRPORT AL      2018 03 23     0.00      44.60     38.84
                          BIRMINGHAM AIRPORT AL      2018 03 24     0.01      46.04     42.08
                          BIRMINGHAM AIRPORT AL      2018 03 25     0.00      46.40     41.54
                          BIRMINGHAM AIRPORT AL      2018 03 26     0.00      41.72     40.82
                          BIRMINGHAM AIRPORT AL      2018 03 27     0.00      44.78     40.64
                          BIRMINGHAM AIRPORT AL      2018 03 28     0.00      46.58     42.62
                          BIRMINGHAM AIRPORT AL      2018 03 29     1.05      45.32     42.44
                          BIRMINGHAM AIRPORT AL      2018 03 30     0.00      43.70     40.28
                          BIRMINGHAM AIRPORT AL      2018 03 31     0.00      45.14     39.20
                                DECATUR 4 SE AL      2018 03 01     1.52      44.24     41.36
                                DECATUR 4 SE AL      2018 03 02     0.20      44.24     39.56
                                DECATUR 4 SE AL      2018 03 03     0.00      44.24     39.02
                                DECATUR 4 SE AL      2018 03 04     0.00      42.98     38.84
                                DECATUR 4 SE AL      2018 03 05     0.25      43.70     38.84
                                DECATUR 4 SE AL      2018 03 06     0.25      43.88     39.02
                                DECATUR 4 SE AL      2018 03 07     0.00      44.06     38.66
                                DECATUR 4 SE AL      2018 03 08     0.00      39.74     37.76
                                DECATUR 4 SE AL      2018 03 09     0.00      43.34     37.40
                                DECATUR 4 SE AL      2018 03 10     0.00      43.70     37.76
                                DECATUR 4 SE AL      2018 03 11     0.00      43.16     38.30
                                DECATUR 4 SE AL      2018 03 12     0.00      43.70     38.66
                                DECATUR 4 SE AL      2018 03 13     0.00      43.52     39.02
                                DECATUR 4 SE AL      2018 03 14     0.00      44.06     39.38
                                DECATUR 4 SE AL      2018 03 15     0.00      44.24     39.74
                                DECATUR 4 SE AL      2018 03 16     0.00      44.06     39.92
                                DECATUR 4 SE AL      2018 03 17     0.25      44.60     41.36
                                DECATUR 4 SE AL      2018 03 18     0.00      46.22     40.64
                                DECATUR 4 SE AL      2018 03 19     0.10      46.22     40.64
                                DECATUR 4 SE AL      2018 03 20     0.40      44.78     41.18
                                DECATUR 4 SE AL      2018 03 21     0.00      41.72     38.12
                                DECATUR 4 SE AL      2018 03 22     0.00      41.72     37.94
                                DECATUR 4 SE AL      2018 03 23     0.00      43.52     39.20
                                DECATUR 4 SE AL      2018 03 24     0.00      44.06     39.56
                                DECATUR 4 SE AL      2018 03 25     0.27      44.60     39.38
                                DECATUR 4 SE AL      2018 03 26     0.00      44.78     39.74
                                DECATUR 4 SE AL      2018 03 27     0.00      44.78     40.10
                                DECATUR 4 SE AL      2018 03 28     0.00      44.78     40.28
                                DECATUR 4 SE AL      2018 03 29     0.08      44.78     39.38
                                DECATUR 4 SE AL      2018 03 30     1.00      43.52     41.00
                                DECATUR 4 SE AL      2018 03 31     0.00      43.52     38.66
                      TROY MUNICIPAL AIRPORT AL      2018 03 01     0.08      46.58     42.26
                      TROY MUNICIPAL AIRPORT AL      2018 03 02     0.00      44.24     40.10
                      TROY MUNICIPAL AIRPORT AL      2018 03 03     0.00      44.78     38.30
                      TROY MUNICIPAL AIRPORT AL      2018 03 04     0.00      44.96     37.76
                      TROY MUNICIPAL AIRPORT AL      2018 03 05     0.00      45.32     40.10
                      TROY MUNICIPAL AIRPORT AL      2018 03 06     0.80      44.06     40.10
                      TROY MUNICIPAL AIRPORT AL      2018 03 07     0.00      42.08     38.12
                      TROY MUNICIPAL AIRPORT AL      2018 03 08     0.00      42.08     37.22
                      TROY MUNICIPAL AIRPORT AL      2018 03 09     0.00      43.70     37.04
                      TROY MUNICIPAL AIRPORT AL      2018 03 10     0.00      45.14     39.02
                      TROY MUNICIPAL AIRPORT AL      2018 03 11     0.43      42.98     41.72
                      TROY MUNICIPAL AIRPORT AL      2018 03 12     0.00      42.44     38.48
                      TROY MUNICIPAL AIRPORT AL      2018 03 13     0.00      42.62     37.22
                      TROY MUNICIPAL AIRPORT AL      2018 03 14     0.00      42.62     37.58
                      TROY MUNICIPAL AIRPORT AL      2018 03 15     0.00      44.24     37.04
                      TROY MUNICIPAL AIRPORT AL      2018 03 16     0.00      44.42     38.30
                      TROY MUNICIPAL AIRPORT AL      2018 03 17     0.00      46.58     41.72
                      TROY MUNICIPAL AIRPORT AL      2018 03 18     0.21      45.86     43.52
                      TROY MUNICIPAL AIRPORT AL      2018 03 19     0.01      46.22     43.52
                      TROY MUNICIPAL AIRPORT AL      2018 03 20     0.00      44.42     40.82
                      TROY MUNICIPAL AIRPORT AL      2018 03 21     0.00      43.16     39.38
                      TROY MUNICIPAL AIRPORT AL      2018 03 22     0.00      43.34     37.58
                      TROY MUNICIPAL AIRPORT AL      2018 03 23     0.00      44.78     38.30
                      TROY MUNICIPAL AIRPORT AL      2018 03 24     0.00      46.40     40.46
                      TROY MUNICIPAL AIRPORT AL      2018 03 25     0.03      46.76     41.90
                      TROY MUNICIPAL AIRPORT AL      2018 03 26     0.05      42.08     40.64
                      TROY MUNICIPAL AIRPORT AL      2018 03 27     0.00      44.78     40.82
                      TROY MUNICIPAL AIRPORT AL      2018 03 28     0.00      46.22     41.54
                      TROY MUNICIPAL AIRPORT AL      2018 03 29     1.30      46.04     42.26
                      TROY MUNICIPAL AIRPORT AL      2018 03 30     0.00      44.42     41.00
                      TROY MUNICIPAL AIRPORT AL      2018 03 31     0.00      45.14     39.20
                                  HANCEVILLE AL      2018 03 01     0.63      44.78     41.54
                                  HANCEVILLE AL      2018 03 02     0.97      44.78     39.38
                                  HANCEVILLE AL      2018 03 03     0.00      42.26     37.76
                                  HANCEVILLE AL      2018 03 04     0.00      43.34     37.58
                                  HANCEVILLE AL      2018 03 05     0.05      44.06     40.10
                                  HANCEVILLE AL      2018 03 06     0.36      42.80     40.28
                                  HANCEVILLE AL      2018 03 07     0.03      43.52     38.30
                                  HANCEVILLE AL      2018 03 08     0.00      39.92     36.86
                                  HANCEVILLE AL      2018 03 09     0.00      40.82     36.14
                                  HANCEVILLE AL      2018 03 10     0.00      42.98     36.86
                                  HANCEVILLE AL      2018 03 11     2.02      43.16     39.74
                                  HANCEVILLE AL      2018 03 12     0.00      42.26     38.30
                                  HANCEVILLE AL      2018 03 13     0.00      41.18     37.04
                                  HANCEVILLE AL      2018 03 14     0.00      42.08     37.04
                                  HANCEVILLE AL      2018 03 15     0.00      41.00     36.32
                                  HANCEVILLE AL      2018 03 16     0.00      43.88     36.32
                                  HANCEVILLE AL      2018 03 17     0.00      43.52     37.58
                                  HANCEVILLE AL      2018 03 18     0.16      45.68     41.00
                                  HANCEVILLE AL      2018 03 19     0.09      45.68     41.00
                                  HANCEVILLE AL      2018 03 20     1.31      45.68     40.28
                                  HANCEVILLE AL      2018 03 21     0.00      41.54     37.76
                                  HANCEVILLE AL      2018 03 22     0.00      41.36     37.04
                                  HANCEVILLE AL      2018 03 23     0.00      42.26     37.04
                                  HANCEVILLE AL      2018 03 24     0.00      43.52     39.38
                                  HANCEVILLE AL      2018 03 25     0.00      45.14     39.38
                                  HANCEVILLE AL      2018 03 26     0.07      45.50     40.64
                                  HANCEVILLE AL      2018 03 27     0.00      41.54     40.28
                                  HANCEVILLE AL      2018 03 28     0.00      43.34     40.28
                                  HANCEVILLE AL      2018 03 29     0.00      45.50     41.90
                                  HANCEVILLE AL      2018 03 30     0.94      45.50     41.00
                                  HANCEVILLE AL      2018 03 31     0.00      45.50     37.94
                               LAFAYETTE 2 W AL      2018 03 01     0.00      44.78     41.36
                               LAFAYETTE 2 W AL      2018 03 02     0.30      46.22     39.38
                               LAFAYETTE 2 W AL      2018 03 03     0.00      46.22     37.40
                               LAFAYETTE 2 W AL      2018 03 04     0.00      44.24     37.40
                               LAFAYETTE 2 W AL      2018 03 05     0.00      44.24     37.22
                               LAFAYETTE 2 W AL      2018 03 06     0.18      43.34     39.92
                               LAFAYETTE 2 W AL      2018 03 07     0.54      43.88     38.66
                               LAFAYETTE 2 W AL      2018 03 08     0.00      41.36     36.68
                               LAFAYETTE 2 W AL      2018 03 09     0.00      41.36     36.32
                               LAFAYETTE 2 W AL      2018 03 10     0.00      43.34     36.14
                               LAFAYETTE 2 W AL      2018 03 11     0.00      44.78     38.66
                               LAFAYETTE 2 W AL      2018 03 12     0.31      41.90     39.02
                               LAFAYETTE 2 W AL      2018 03 13     0.00      41.90     37.04
                               LAFAYETTE 2 W AL      2018 03 14     0.00      42.26     36.86
                               LAFAYETTE 2 W AL      2018 03 15     0.00      41.72     36.14
                               LAFAYETTE 2 W AL      2018 03 16     0.00      44.06     36.32
                               LAFAYETTE 2 W AL      2018 03 17     0.00      44.42     37.04
                               LAFAYETTE 2 W AL      2018 03 18     0.00      45.86     38.66
                               LAFAYETTE 2 W AL      2018 03 19     0.00      45.32     38.30
                               LAFAYETTE 2 W AL      2018 03 20     0.43      45.50     41.00
                               LAFAYETTE 2 W AL      2018 03 21     0.00      44.06     38.30
                               LAFAYETTE 2 W AL      2018 03 22     0.00      41.54     37.04
                               LAFAYETTE 2 W AL      2018 03 23     0.00      42.62     36.86
                               LAFAYETTE 2 W AL      2018 03 24     0.00      43.88     37.40
                               LAFAYETTE 2 W AL      2018 03 25     0.00      45.86     38.30
                               LAFAYETTE 2 W AL      2018 03 26     0.08      45.14     40.28
                               LAFAYETTE 2 W AL      2018 03 27     0.00      40.82     39.92
                               LAFAYETTE 2 W AL      2018 03 28     0.00      44.42     40.28
                               LAFAYETTE 2 W AL      2018 03 29     0.00      46.58     37.76
                               LAFAYETTE 2 W AL      2018 03 30     0.87      46.22     41.54
                               LAFAYETTE 2 W AL      2018 03 31     0.03      43.88     39.20
                                      HEFLIN AL      2018 03 01     0.00      44.42     39.20
                                      HEFLIN AL      2018 03 02     0.27      44.96     39.38
                                      HEFLIN AL      2018 03 03     0.02      44.78     37.40
                                      HEFLIN AL      2018 03 04     0.00      43.52     37.40
                                      HEFLIN AL      2018 03 05     0.00      44.60     39.20
                                      HEFLIN AL      2018 03 06     0.40      44.42     39.02
                                      HEFLIN AL      2018 03 07     0.08      43.52     38.84
                                      HEFLIN AL      2018 03 08     0.00      43.52     37.04
                                      HEFLIN AL      2018 03 09     0.00      41.00     36.50
                                      HEFLIN AL      2018 03 10     0.01      43.34     36.50
                                      HEFLIN AL      2018 03 11     1.32      43.88     37.94
                                      HEFLIN AL      2018 03 12     0.11      42.26     38.48
                                      HEFLIN AL      2018 03 13     0.02      42.26     37.40
                                      HEFLIN AL      2018 03 14     0.00      41.90     37.40
                                      HEFLIN AL      2018 03 15     0.00      41.90     36.50
                                      HEFLIN AL      2018 03 16     0.00      44.24     36.68
                                      HEFLIN AL      2018 03 17     0.00      44.42     36.68
                                      HEFLIN AL      2018 03 18     0.00      45.50     41.18
                                      HEFLIN AL      2018 03 19     0.00      46.04     41.18
                                      HEFLIN AL      2018 03 20     2.81      46.04     41.00
                                      HEFLIN AL      2018 03 21     0.06      43.16     38.66
                                      HEFLIN AL      2018 03 22     0.00      39.38     37.40
                                      HEFLIN AL      2018 03 23     0.00      42.26     37.40
                                      HEFLIN AL      2018 03 24     0.00      42.98     37.22
                                      HEFLIN AL      2018 03 25     0.00      45.68     39.92
                                      HEFLIN AL      2018 03 26     0.00      43.88     39.92
                                      HEFLIN AL      2018 03 27     0.00      43.88     39.56
                                      HEFLIN AL      2018 03 28     0.00      43.88     40.28
                                      HEFLIN AL      2018 03 29     0.00      46.22     40.46
                                      HEFLIN AL      2018 03 30     0.00      46.40     40.46
                                      HEFLIN AL      2018 03 31     0.00      46.22     38.48
                                    TROY 2 W AL      2018 03 01     0.05      46.22     42.08
                                    TROY 2 W AL      2018 03 02     0.00      43.88     40.10
                                    TROY 2 W AL      2018 03 03     0.00      44.60     39.20
                                    TROY 2 W AL      2018 03 04     0.00      44.60     38.84
                                    TROY 2 W AL      2018 03 05     0.00      45.14     40.28
                                    TROY 2 W AL      2018 03 06     0.87      43.88     40.64
                                    TROY 2 W AL      2018 03 07     0.00      41.72     38.30
                                    TROY 2 W AL      2018 03 08     0.00      41.90     37.22
                                    TROY 2 W AL      2018 03 09     0.00      43.52     37.22
                                    TROY 2 W AL      2018 03 10     0.00      44.78     39.38
                                    TROY 2 W AL      2018 03 11     0.53      42.80     41.72
                                    TROY 2 W AL      2018 03 12     0.00      42.26     38.48
                                    TROY 2 W AL      2018 03 13     0.00      42.44     37.40
                                    TROY 2 W AL      2018 03 14     0.00      42.26     37.76
                                    TROY 2 W AL      2018 03 15     0.00      44.06     37.04
                                    TROY 2 W AL      2018 03 16     0.00      44.24     38.66
                                    TROY 2 W AL      2018 03 17     0.09      46.40     42.08
                                    TROY 2 W AL      2018 03 18     0.24      45.50     43.52
                                    TROY 2 W AL      2018 03 19     0.00      45.86     43.52
                                    TROY 2 W AL      2018 03 20     0.00      44.42     40.64
                                    TROY 2 W AL      2018 03 21     0.00      42.62     39.20
                                    TROY 2 W AL      2018 03 22     0.00      43.16     37.94
                                    TROY 2 W AL      2018 03 23     0.00      44.60     38.30
                                    TROY 2 W AL      2018 03 24     0.00      46.04     40.64
                                    TROY 2 W AL      2018 03 25     0.01      46.40     41.72
                                    TROY 2 W AL      2018 03 26     0.02      41.90     40.64
                                    TROY 2 W AL      2018 03 27     0.00      44.60     40.64
                                    TROY 2 W AL      2018 03 28     0.00      45.86     42.26
                                    TROY 2 W AL      2018 03 29     1.02      45.86     42.44
                                    TROY 2 W AL      2018 03 30     0.00      44.06     41.18
                                    TROY 2 W AL      2018 03 31     0.00      44.96     39.74
                               BREWTON 3 NNE AL      2018 03 01     0.02      46.58     42.26
                               BREWTON 3 NNE AL      2018 03 02     0.00      44.42     40.82
                               BREWTON 3 NNE AL      2018 03 03     0.00      44.96     39.02
                               BREWTON 3 NNE AL      2018 03 04     0.00      45.14     38.12
                               BREWTON 3 NNE AL      2018 03 05     0.00      45.50     41.36
                               BREWTON 3 NNE AL      2018 03 06     0.22      44.06     40.28
                               BREWTON 3 NNE AL      2018 03 07     0.00      42.08     38.48
                               BREWTON 3 NNE AL      2018 03 08     0.00      42.44     37.58
                               BREWTON 3 NNE AL      2018 03 09     0.00      43.88     37.22
                               BREWTON 3 NNE AL      2018 03 10     0.00      45.14     39.56
                               BREWTON 3 NNE AL      2018 03 11     0.88      43.52     41.54
                               BREWTON 3 NNE AL      2018 03 12     0.00      42.44     38.66
                               BREWTON 3 NNE AL      2018 03 13     0.00      42.80     37.76
                               BREWTON 3 NNE AL      2018 03 14     0.00      42.98     37.58
                               BREWTON 3 NNE AL      2018 03 15     0.00      44.42     37.04
                               BREWTON 3 NNE AL      2018 03 16     0.03      44.24     38.66
                               BREWTON 3 NNE AL      2018 03 17     0.02      46.40     42.98
                               BREWTON 3 NNE AL      2018 03 18     1.67      46.04     43.52
                               BREWTON 3 NNE AL      2018 03 19     0.00      46.40     43.70
                               BREWTON 3 NNE AL      2018 03 20     0.00      44.42     40.82
                               BREWTON 3 NNE AL      2018 03 21     0.00      43.52     39.02
                               BREWTON 3 NNE AL      2018 03 22     0.00      43.70     38.30
                               BREWTON 3 NNE AL      2018 03 23     0.00      44.96     38.48
                               BREWTON 3 NNE AL      2018 03 24     0.00      45.68     40.46
                               BREWTON 3 NNE AL      2018 03 25     0.01      46.40     43.34
                               BREWTON 3 NNE AL      2018 03 26     0.00      43.88     41.72
                               BREWTON 3 NNE AL      2018 03 27     0.00      45.32     41.36
                               BREWTON 3 NNE AL      2018 03 28     0.00      46.04     41.36
                               BREWTON 3 NNE AL      2018 03 29     1.08      46.22     42.80
                               BREWTON 3 NNE AL      2018 03 30     0.00      44.42     41.18
                               BREWTON 3 NNE AL      2018 03 31     0.00      45.50     39.56
                                    ANDERSON AL      2018 03 01     1.19      43.16     42.44
                                    ANDERSON AL      2018 03 02     0.00      42.44     38.84
                                    ANDERSON AL      2018 03 03     0.00      44.06     37.94
                                    ANDERSON AL      2018 03 04     0.00      44.24     37.94
                                    ANDERSON AL      2018 03 05     0.10      42.44     40.28
                                    ANDERSON AL      2018 03 06     0.00      43.70     40.64
                                    ANDERSON AL      2018 03 07     0.00      42.08     38.30
                                    ANDERSON AL      2018 03 08     0.00      40.28     36.86
                                    ANDERSON AL      2018 03 09     0.00      43.70     36.50
                                    ANDERSON AL      2018 03 10     0.21      42.80     40.10
                                    ANDERSON AL      2018 03 11     0.22      42.80     39.56
                                    ANDERSON AL      2018 03 12     0.04      41.54     37.94
                                    ANDERSON AL      2018 03 13     0.00      41.72     36.86
                                    ANDERSON AL      2018 03 14     0.00      41.18     36.86
                                    ANDERSON AL      2018 03 15     0.00      44.60     36.86
                                    ANDERSON AL      2018 03 16     0.00      44.60     39.20
                                    ANDERSON AL      2018 03 17     0.26      46.04     42.26
                                    ANDERSON AL      2018 03 18     0.00      45.50     39.92
                                    ANDERSON AL      2018 03 19     1.65      44.24     40.64
                                    ANDERSON AL      2018 03 20     0.02      43.34     39.38
                                    ANDERSON AL      2018 03 21     0.00      41.54     37.40
                                    ANDERSON AL      2018 03 22     0.00      42.62     37.04
                                    ANDERSON AL      2018 03 29     1.83      44.06     42.26
                                    ANDERSON AL      2018 03 30     0.01      42.98     40.82
                                    ANDERSON AL      2018 03 31     0.00      44.96     38.12
                                 SELMA 6 SSE AL      2018 03 01     0.06      46.40     41.54
                                 SELMA 6 SSE AL      2018 03 02     0.00      43.88     39.92
                                 SELMA 6 SSE AL      2018 03 03     0.00      44.78     37.58
                                 SELMA 6 SSE AL      2018 03 04     0.00      44.78     37.76
                                 SELMA 6 SSE AL      2018 03 05     0.04      45.14     41.00
                                 SELMA 6 SSE AL      2018 03 06     1.05      44.06     40.10
                                 SELMA 6 SSE AL      2018 03 07     0.00      41.72     38.30
                                 SELMA 6 SSE AL      2018 03 08     0.00      41.90     37.40
                                 SELMA 6 SSE AL      2018 03 09     0.00      43.70     36.86
                                 SELMA 6 SSE AL      2018 03 10     0.00      45.32     39.38
                                 SELMA 6 SSE AL      2018 03 11     1.25      43.16     41.18
                                 SELMA 6 SSE AL      2018 03 12     0.00      42.44     39.02
                                 SELMA 6 SSE AL      2018 03 13     0.00      42.44     37.94
                                 SELMA 6 SSE AL      2018 03 14     0.00      42.44     37.40
                                 SELMA 6 SSE AL      2018 03 15     0.00      44.24     36.86
                                 SELMA 6 SSE AL      2018 03 16     0.01      44.24     38.66
                                 SELMA 6 SSE AL      2018 03 17     0.00      46.58     42.62
                                 SELMA 6 SSE AL      2018 03 18     0.17      44.96     42.80
                                 SELMA 6 SSE AL      2018 03 19     0.00      46.40     43.34
                                 SELMA 6 SSE AL      2018 03 20     0.00      44.60     40.10
                                 SELMA 6 SSE AL      2018 03 21     0.00      42.80     39.02
                                 SELMA 6 SSE AL      2018 03 22     0.00      43.34     37.22
                                 SELMA 6 SSE AL      2018 03 23     0.00      44.96     38.66
                                 SELMA 6 SSE AL      2018 03 24     0.00      46.22     41.18
                                 SELMA 6 SSE AL      2018 03 25     0.00      46.58     42.08
                                 SELMA 6 SSE AL      2018 03 26     0.00      42.26     41.18
                                 SELMA 6 SSE AL      2018 03 27     0.00      44.96     40.82
                                 SELMA 6 SSE AL      2018 03 28     0.00      46.22     42.08
                                 SELMA 6 SSE AL      2018 03 29     1.24      46.22     42.80
                                 SELMA 6 SSE AL      2018 03 30     0.00      43.88     39.92
                                 SELMA 6 SSE AL      2018 03 31     0.00      44.96     38.48
                                      ATHENS AL      2018 03 01     0.43      43.70     40.82
                                      ATHENS AL      2018 03 02     0.00      43.70     39.02
                                      ATHENS AL      2018 03 03     0.00      43.52     37.94
                                      ATHENS AL      2018 03 04     0.00      44.78     38.66
                                      ATHENS AL      2018 03 05     0.05      42.62     40.46
                                      ATHENS AL      2018 03 06     0.00      44.06     40.46
                                      ATHENS AL      2018 03 07     0.00      40.46     38.12
                                      ATHENS AL      2018 03 08     0.00      41.18     37.76
                                      ATHENS AL      2018 03 09     0.00      43.34     37.22
                                      ATHENS AL      2018 03 10     0.62      42.62     40.82
                                      ATHENS AL      2018 03 11     0.41      42.80     39.56
                                      ATHENS AL      2018 03 12     0.00      42.26     38.84
                                      ATHENS AL      2018 03 13     0.00      42.62     37.76
                                      ATHENS AL      2018 03 14     0.00      41.54     37.76
                                      ATHENS AL      2018 03 15     0.00      44.42     37.94
                                      ATHENS AL      2018 03 16     0.00      44.42     39.74
                                      ATHENS AL      2018 03 17     0.05      46.22     42.62
                                      ATHENS AL      2018 03 18     0.04      43.34     40.64
                                      ATHENS AL      2018 03 19     0.35      44.42     41.36
                                      ATHENS AL      2018 03 20     0.00      41.90     39.20
                                      ATHENS AL      2018 03 21     0.00      42.26     37.58
                                      ATHENS AL      2018 03 22     0.00      43.34     37.94
                                      ATHENS AL      2018 03 23     0.00      43.16     39.20
                                      ATHENS AL      2018 03 24     0.00      44.24     41.72
                                      ATHENS AL      2018 03 25     0.04      44.60     41.72
                                      ATHENS AL      2018 03 26     0.00      42.08     41.18
                                      ATHENS AL      2018 03 27     0.00      44.06     40.64
                                      ATHENS AL      2018 03 28     0.00      44.78     42.62
                                      ATHENS AL      2018 03 29     1.18      44.42     42.26
                                      ATHENS AL      2018 03 30     0.00      44.42     40.10
                                      ATHENS AL      2018 03 31     0.00      44.78     38.84
                                     JACKSON AL      2018 03 01     0.00      46.76     42.98
                                     JACKSON AL      2018 03 02     0.06      46.58     40.82
                                     JACKSON AL      2018 03 03     0.00      44.24     38.66
                                     JACKSON AL      2018 03 04     0.00      45.14     38.66
                                     JACKSON AL      2018 03 05     0.00      45.50     38.84
                                     JACKSON AL      2018 03 08     0.00      42.08     37.58
                                     JACKSON AL      2018 03 09     0.00      43.34     37.58
                                     JACKSON AL      2018 03 10     0.00      44.06     40.28
                                     JACKSON AL      2018 03 11     0.00      45.68     41.18
                                     JACKSON AL      2018 03 12     1.34      43.52     40.28
                                     JACKSON AL      2018 03 13     0.00      42.62     38.12
                                     JACKSON AL      2018 03 14     0.00      42.62     37.94
                                     JACKSON AL      2018 03 17     0.60      43.52     39.92
                                     JACKSON AL      2018 03 18     0.03      46.76     42.62
                                     JACKSON AL      2018 03 19     0.73      44.96     43.34
                                     JACKSON AL      2018 03 20     0.00      46.94     42.80
                                     JACKSON AL      2018 03 21     0.00      46.94     39.20
                                     JACKSON AL      2018 03 22     0.00      43.70     38.30
                                     JACKSON AL      2018 03 23     0.00      44.06     38.48
                                     JACKSON AL      2018 03 24     0.00      45.32     39.20
                                     JACKSON AL      2018 03 25     0.00      46.04     42.26
                                     JACKSON AL      2018 03 26     0.00      46.94     43.34
                                     JACKSON AL      2018 03 29     0.00      46.04     43.34
                                     JACKSON AL      2018 03 30     1.51      46.22     42.44
                                     JACKSON AL      2018 03 31     0.00      44.24     39.74
                                     OPELIKA AL      2018 03 01     0.00      44.78     41.54
                                     OPELIKA AL      2018 03 02     0.02      46.22     39.74
                                     OPELIKA AL      2018 03 03     0.00      43.34     38.30
                                     OPELIKA AL      2018 03 04     0.00      44.24     38.48
                                     OPELIKA AL      2018 03 05     0.00      43.88     39.20
                                     OPELIKA AL      2018 03 06     0.37      43.88     40.46
                                     OPELIKA AL      2018 03 07     0.40      43.70     38.66
                                     OPELIKA AL      2018 03 08     0.00      41.54     37.04
                                     OPELIKA AL      2018 03 09     0.00      41.36     36.68
                                     OPELIKA AL      2018 03 10     0.00      43.16     38.12
                                     OPELIKA AL      2018 03 11     0.55      44.60     40.10
                                     OPELIKA AL      2018 03 12     0.98      41.90     39.38
                                     OPELIKA AL      2018 03 13     0.00      41.90     37.04
                                     OPELIKA AL      2018 03 14     0.00      42.26     37.22
                                     OPELIKA AL      2018 03 15     0.00      41.72     36.50
                                     OPELIKA AL      2018 03 16     0.00      43.70     37.76
                                     OPELIKA AL      2018 03 17     0.00      43.88     39.74
                                     OPELIKA AL      2018 03 18     0.00      45.86     41.90
                                     OPELIKA AL      2018 03 19     0.00      45.86     41.90
                                     OPELIKA AL      2018 03 20     0.00      45.14     41.54
                                     OPELIKA AL      2018 03 21     0.00      44.06     38.48
                                     OPELIKA AL      2018 03 22     0.00      41.72     37.40
                                     OPELIKA AL      2018 03 23     0.00      42.80     37.40
                                     OPELIKA AL      2018 03 24     0.02      43.70     38.30
                                     OPELIKA AL      2018 03 25     0.00      45.86     38.30
                                     OPELIKA AL      2018 03 26     0.00      45.86     38.30
                                     OPELIKA AL      2018 03 27     0.00      41.00     40.10
                                     OPELIKA AL      2018 03 28     0.00      44.42     40.64
                                     OPELIKA AL      2018 03 29     0.00      46.04     41.54
                                     OPELIKA AL      2018 03 30     0.75      45.86     41.54
                                     OPELIKA AL      2018 03 31     0.00      44.06     39.20
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 01     0.25      44.96     41.72
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 02     0.00      43.34     40.10
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 03     0.00      44.42     39.02
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 04     0.00      44.78     39.92
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 05     0.35      44.24     40.64
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 06     0.59      44.06     40.64
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 07     0.00      41.36     38.84
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 08     0.00      41.54     37.76
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 09     0.00      43.52     37.58
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 10     0.00      45.32     39.74
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 11     1.01      42.62     40.64
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 12     0.00      42.08     38.84
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 13     0.00      42.44     38.30
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 14     0.00      41.90     38.12
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 15     0.00      44.24     37.58
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 16     0.04      44.06     39.56
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 17     0.01      46.22     42.44
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 18     0.06      44.96     42.44
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 19     0.02      45.86     42.80
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 20     0.02      44.06     39.38
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 21     0.00      42.08     38.66
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 22     0.00      43.34     38.30
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 23     0.00      44.60     39.20
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 24     0.00      45.86     41.90
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 25     0.12      46.40     41.18
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 26     0.00      41.72     40.82
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 27     0.00      44.78     40.64
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 28     0.00      46.40     42.80
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 29     0.96      45.32     42.44
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 30     0.00      43.52     40.28
                 ALABASTER SHELBY CO AIRPORT AL      2018 03 31     0.00      44.96     39.38
                                HAMILTON 3 S AL      2018 03 01     0.68      44.96     41.90
                                HAMILTON 3 S AL      2018 03 02     0.57      43.34     38.48
                                HAMILTON 3 S AL      2018 03 03     0.00      43.34     36.86
                                HAMILTON 3 S AL      2018 03 04     0.00      44.24     37.04
                                HAMILTON 3 S AL      2018 03 05     0.03      45.32     37.76
                                HAMILTON 3 S AL      2018 03 06     0.11      43.70     40.46
                                HAMILTON 3 S AL      2018 03 07     0.00      44.24     38.12
